,marca,preco
0,"Cadeira Gamer KBM! GAMING Tempest CG600, Preta, Com Almofadas, Descanso Para Pernas Retrátil, Reclinável - KGCG600PT","R$ 719,90"
1,"Cadeira Gamer KBM! GAMING Tempest CG600, Branco, Com Almofadas, Descanso Para Pernas Retrátil, Reclinável - KGCG600BR","R$ 719,90"
2,"Cadeira Gamer KBM! GAMING Tempest CG500 Preta Com Almofadas, Descanso Para Pernas Retrátil, Reclinável - KGCG500PT","R$ 674,90"
3,"Cadeira Gamer KBM! GAMING Tempest CG600, Cinza Claro, Com Almofadas, Descanso Para Pernas Retrátil, Reclinável - KGCG600CZ","R$ 719,90"
4,"Cadeira Gamer KBM! GAMING Tempest CG600, Preta e Vermelho, Com Almofadas, Descanso Para Pernas Retrátil, Reclinável - KGCG600PTVM","R$ 719,90"
5,"Cadeira Gamer KBM! GAMING CG200, Preto e Vermelho - Pistão Classe 3, Almofadas cabeça e lombar - KGCG200PTVM","R$ 479,99"
6,"Cadeira Gamer Alpha Gamer Vega, Preto, Reclinável, com Almofadas, Cilindro de Gás Classe 4","R$ 629,90"
7,"Cadeira Gamer KBM! GAMING Tempest CG500, Preta e Branco, Com Almofadas, Descanso Para Pernas Retrátil, Reclinável - KGCG500PTBR","R$ 659,90"
8,"Cadeira Gamer KBM! GAMING Tempest CG500 Preta e Roxa, Com Almofadas, Descanso Para Pernas Retrátil, Reclinável - KGCG500PTRX","R$ 659,90"
9,"Cadeira Gamer Prizi Canvas, Até 120Kg, Com Almofadas, Preta","R$ 443,33"
10,"Cadeira Gamer KBM! GAMING Tempest CG500, Preta e Azul, Com Almofadas, Descanso Para Pernas Retrátil, Reclinável - KGCG500PTAZ","R$ 659,90"
11,"Cadeira Gamer Alpha Gamer Nebula Fabric, Até 150 kg, Apoio de Braço 4D, Reclinável, Cinza - AGNEBULA","R$ 929,90"
12,"Cadeira Gamer Mymax Mx5 ,Peso Suportado até 150Kg, Giratória, Preto","R$ 699,00"
13,"Cadeira Gamer Prizi Canvas, Suporta: 120 kg - Branca","R$ 599,90"
14,"Cadeira Gamer ThunderX3 TGC12, Até 120kg, com Almofadas, Reclinável, Preto","R$ 1.059,99"
15,"Cadeira Gamer DT3 Nero, Até 140kg, com Almofada, Reclinável, Braço 4D, Cilindro de Gás Classe 4, Preto - 13747-2","R$ 1.329,99"
16,"Cadeira Gamer Corsair T3 Rush 2023, Até 120Kg, Com Almofadas, Reclinável, Apoio de Braços 4D, Preto e Cinza - CF-9010057-WW","R$ 1.379,99"
17,"Cadeira Gamer ThunderX3 TGC12, Preto e Vermelho, Reclinável, com Almofadas, Cilindro de Gás Classe 4","R$ 969,99"
18,"Cadeira Gamer Alpha Gamer Nebula XL Fabric, Até 150 kg, Apoio de Braço 4D, Reclinável, Cinza - AGNEBULAXL","R$ 1.049,90"
19,"Cadeira Gamer Mx5, Giratoria, Branco e Rosa - Mymax","R$ 615,12"
20,"Cadeira Gamer Corsair TC100 Relaxed Fabric, Até 120Kg, Com Almofadas, Reclinável, Cilindro de Gás Classe 4, Preto - CF-9010051-WW","R$ 959,90"
21,"Cadeira Gamer Corsair T3 Rush 2023, Até 120Kg, Com Almofadas, Reclinável, Apoio de Braços 4D, Cinza e Preto - CF-9010056-WW","R$ 1.249,90"
22,"Cadeira Gamer XT Racer Viking Series, Até 120kg, Com Almofadas e Apoio de Pés, Reclinável, Descanso de Braço 3D, Preto - XTR-018","R$ 1.099,99"
23,"Cadeira Gamer Prizi Runner, 180KG, Verde","R$ 294,90"
24,"Cadeira Gamer Prizi JX-1039B, até 120 kg, com Almofadas na lombar e pescoço, Azul","R$ 443,33"
25,"Cadeira Gamer DT3 Nero XL, Até 160Kg, Com Almofada, Descanso de Braço 4D, Preto - 13634-7","R$ 1.489,99"
26,"Cadeira Gamer Rise Mode Z6, Ângulo Ajustável, Braço 2D, ARGB, Branco - RM-CG-06-BW-RGB","R$ 899,99"
27,"Cadeira Gamer Prizi Canvas, Suporta: 120 kg - Rosa","R$ 443,33"
28,"Cadeira Gamer Rise Mode Z6, Ângulo Ajustável, Braço 2D, ARGB, Preto - RM-CG-06-BK-RGB","R$ 899,99"
29,"Cadeira Gamer Corsair TC100 Relaxed Fabric, Até 120Kg, Com Almofadas, Reclinável, Cilindro de Gás Classe 4, Preto e Cinza - CF-9010052-WW","R$ 1.049,99"
30,"Cadeira Gamer Prizi Canvas, Até 120Kg, Com Almofadas, Branca","R$ 443,33"
31,"Cadeira Gamer Alpha Gamer Vega, Preto e Vermelho, Reclinável, com Almofadas, Cilindro de Gás Classe 4","R$ 629,90"
32,"Cadeira Gamer XT Racer Platinum W Series, Até 120kg, Com Almofadas, Reclinável, Descanso de Braço 3D, Preto - XTR-010","R$ 1.159,90"
33,"Cadeira Gamer XT Racer Platinum W Series, Até 120kg, Com Almofadas, Reclinável, Descanso de Braço 3D, Marrom - XTR-016","R$ 1.159,90"
34,"Cadeira Gamer Prizi Runner, Até 120Kg, Roxa","R$ 294,90"
35,"Cadeira Gamer PCYes Mad Racer V8 Turbo, Black - V8TBMADPT","R$ 1.059,99"
36,"Cadeira Gamer Mymax MX1, Peso Suportado até 120Kg, Giratória, Preto - mgch-8131/bk","R$ 569,05"
